Observatory,Data_year,agglomeration,Zone_complementaire,Type_habitat,epoque_construction_homogene,anciennete_locataire_homogene,nombre_pieces_homogene,loyer_1_decile,loyer_1_quartile,loyer_median,loyer_3_quartile,loyer_9_decile,loyer_moyen,loyer_mensuel_1_decile,loyer_mensuel_1_quartile,loyer_mensuel_median,loyer_mensuel_3_quartile,loyer_mensuel_9_decile,moyenne_loyer_mensuel,surface_moyenne,nombre_observations,nombre_logements,methodologie_production
B2900,2022,Agglomération de Brest,,,,,,66,75,88,104,130,85,330,400,480,595,768,515,61,4997,27097,Estimation directe
B2900,2022,Agglomération de Brest,,,,,Maison 1-3P,,,,,,,,,,,,,,30,,Estimation directe
B2900,2022,Agglomération de Brest,,,,,Ensemble 4P+,60,66,74,83,91,75,485,545,676,802,910,696,93,999,7205,Estimation directe
B2900,2022,Agglomération de Brest,,,,,Maison 4P+,63,70,81,87,94,78,600,730,789,881,960,794,102,253,3011,Estimation directe
B2900,2022,Agglomération de Brest,,,,,Appart 1P,96,112,130,164,194,130,280,300,325,365,395,334,26,971,3713,Estimation directe
B2900,2022,Agglomération de Brest,,,,,Appart 2P,76,84,96,108,127,94,330,380,420,461,490,419,44,1654,8722,Estimation directe
B2900,2022,Agglomération de Brest,,,,,Appart 3P,67,72,82,91,99,82,421,470,530,590,635,530,65,1343,6820,Estimation directe
B2900,2022,Agglomération de Brest,,,,,Appart 4P+,58,66,72,79,88,72,439,513,575,680,840,621,87,746,4195,Estimation directe
B2900,2022,Agglomération de Brest,,,,,Ensemble 1P,96,111,130,164,194,130,280,300,325,365,396,334,26,972,3743,Estimation directe
B2900,2022,Agglomération de Brest,,,,,Ensemble 2P,76,84,96,108,127,95,330,380,420,464,499,422,45,1659,8891,Estimation directe
B2900,2022,Agglomération de Brest,,,,,Ensemble 3P,67,73,82,92,99,82,422,471,530,600,651,537,65,1367,7257,Estimation directe
B2900,2022,Agglomération de Brest,,,,1. Moins de 1 an,,71,82,94,115,140,92,325,395,480,620,780,518,56,1601,,Estimation directe
B2900,2022,Agglomération de Brest,,,,1. Moins de 1 an,Ensemble 4P+,61,69,79,88,94,79,500,590,740,860,960,729,93,288,,Estimation directe
B2900,2022,Agglomération de Brest,,,,1. Moins de 1 an,Ensemble 1P,104,115,130,181,198,136,296,320,330,375,400,343,25,403,,Estimation directe
B2900,2022,Agglomération de Brest,,,,1. Moins de 1 an,Ensemble 2P,82,90,100,116,130,101,330,400,428,475,500,436,43,497,,Estimation directe
B2900,2022,Agglomération de Brest,,,,1. Moins de 1 an,Ensemble 3P,72,76,91,98,109,88,470,500,580,620,675,573,65,413,,Estimation directe
B2900,2022,Agglomération de Brest,,,,2. 1 an et plus,,64,72,84,97,117,81,330,400,480,575,760,513,63,3396,,Estimation directe
B2900,2022,Agglomération de Brest,,,,2. 1 an et plus,Ensemble 4P+,57,65,73,81,90,73,475,533,628,782,902,681,94,711,,Estimation directe
B2900,2022,Agglomération de Brest,,,,2. 1 an et plus,Ensemble 1P,92,106,128,150,167,122,268,295,310,349,379,320,26,569,,Estimation directe
B2900,2022,Agglomération de Brest,,,,2. 1 an et plus,Ensemble 2P,72,81,93,105,120,92,333,371,418,460,490,415,45,1162,,Estimation directe
B2900,2022,Agglomération de Brest,,,,2. 1 an et plus,Ensemble 3P,65,70,80,89,95,79,409,450,511,563,630,515,65,954,,Estimation directe
B2900,2022,Agglomération de Brest,,,1. Avant 1946,,,66,75,90,120,147,88,300,357,403,530,710,458,52,607,2295,Estimation directe
B2900,2022,Agglomération de Brest,,,1. Avant 1946,,Ensemble 4P+,52,62,72,78,82,68,525,545,697,750,840,656,96,69,497,Estimation directe
B2900,2022,Agglomération de Brest,,,1. Avant 1946,,Ensemble 1P,86,112,138,179,206,134,275,300,318,360,395,324,24,206,373,Estimation directe
B2900,2022,Agglomération de Brest,,,1. Avant 1946,,Ensemble 2P,69,80,97,127,131,94,328,360,400,435,520,411,44,227,913,Estimation directe
B2900,2022,Agglomération de Brest,,,1. Avant 1946,,Ensemble 3P,68,70,87,97,115,87,400,426,503,620,630,515,59,105,512,Estimation directe
B2900,2022,Agglomération de Brest,,,1. Avant 1946,1. Moins de 1 an,,75,90,111,130,192,104,315,355,400,555,630,454,44,216,,Estimation directe
